CHLA,ALK,TDP,TDN,K,MG,SRSI,MN,CL,FE,SO4,DOC,NO3,PARTN,NA,COND,NH3,DIC,PARTP,PH,CA,NO2,PARTC,SECCHI_DEPTHS,MEAN_DAILY_DISCHARGE
1.6475,146.8,25,905,0.29,1.82,6.631,0.022,0.08,1.17,0.49,2668,57,42,2.2,45,17,405,7,6.50,7.17,3,1044,4.25,0.001
1.6475,146.8,7,754,0.12,0.85,4.508,0,0.09,0.85,0.13,4475,4,137,1.03,41,17,322,9,4.21,2.48,4,3503,4.25,0.0002
1.6475,146.8,9,699,0.07,0.71,5.022,0,0.11,0.79,0.41,2578,3,28,1.09,22,17,348,5,5.04,2.42,2,805,4.25,0.0002
1.6475,146.8,2,221,0.45,0.82,1.981,0,0.24,0,2.17,627,2,27,1.2,27,17,155,5,7.61,2.93,0,608,4.25,0.0141
1.6475,167,2,277,0.47,0.82,2.018,0,0.26,0.02,2.15,624,3,31,1.24,26,17,153,3,7.63,2.92,0,682,4.25,0.0094
0.89,174,2,168,0.43,0.68,0.661,0,0.22,0,1.58,340,2,21,0.84,24,17,188,2,7.37,2.96,0,502,7.25,0.004
2.16,348,1.5,207,0.42,0.8,2.0365,0,0.24,0,2.13,603,1,39.5,1.09,26.5,17,163.5,5,7.33,2.82,0,730.5,4.5,0.004
1.6475,179,2,212,0.42,0.82,2.03,0,0.25,0,2.06,603,1,33,1.13,26,17,168,4,7.37,2.85,0,782,4.25,0.0039
1.49,135,2,256,0.38,0.83,0.219,0,0.21,0,1.31,586,1,12,0.72,20,17,130,2,7.09,2.03,0,596,4.25,0.004
1.6475,189,15,700,0.18,1.12,6.886,0,0.1,0.7,1.86,2168,42,23,1.75,34,17,322,5,6.15,4.57,2,597,4.25,0.007
1.6475,0,9,733,0.05,0.89,4.454,0,0.07,0.8,0.26,4960,3,0,0.87,41,17,328,4,4.12,2.54,4,589,4.25,0.0016
1.6475,38,16,773,0.08,0.79,6.482,0.0146,0.17,0.79,0.93,2892,5,16,0.93,25,17,432,5,4.90,2.67,3,642,4.25,0.0012
1.4,170,2,162,0.4,0.64,0.614,0,0.2,0,1.64,342,1,0,0.75,24,17,175,4,7.32,2.81,0,438,6.25,0.004
1.9,347,2,233.5,0.42,0.805,1.9265,0,0.225,0,1.215,601,2,31,1.1,27,17,170.5,3.5,7.37,2.81,0,622,3,0.004
1.6475,172,3,236,0.41,0.79,1.925,0,0.22,0,2.14,597,1,38,1.05,27,17,157,4,7.54,2.77,0,831,4.25,0.004
1.65,260,3,249,0.35,0.79,0.2065,0,0.18,0,1.3,612,4.5,14,0.645,20.5,17,131.5,3,7.07,1.9,0,523.5,4.25,0.004
1.6475,184,17,869,0.21,1.24,6.448,0,0.11,0.89,1.04,3365,7,11,1.62,33,17,253,5,6.05,5.04,2,571,4.25,0.017
1.6475,0,11,808,0.12,0.89,3.8,0,0.11,0.87,0.25,5242,2.7,0,0.83,49,17,376,2,4.09,2.52,5,600,4.25,0.0014
1.6475,56,11,787,0.07,0.84,6.008,0.0162,0.33,0.92,0.65,3329,2,0,0.95,28,17,433,4,4.92,2.91,3,639,4.25,0.0006
1.6475,165,2,212,0.42,0.79,1.918,0,0.23,0,2.1,623,1,45,1.08,27,17,159,4,7.45,2.78,1,790,4.25,0.0154
2.11,351,3.5,239.5,0.44,0.775,1.9275,0,0.23,0,2.08,524.007665,1,38.5,1.085,26.5,17,175,4,7.25,2.85,0,663.5,4.75,0.004
1.6475,283,18,741,0.27,1.39,7.161,0,0.11,0.67,0.8,2285.83605,9,17,1.88,39,17,410,6,6.26,5.57,2,669,4.25,0.002
1.6475,0,18,870,0.15,0.87,4.903,0,0.14,0.95,0.17,4666.41844,0,45,0.88,43,17,317,5,4.22,2.62,5,1335,4.25,0
1.6475,60,10,655,0.02,0.69,5.293,0,0.25,0.68,0.7,2400.99899,1,66,0.97,23,17,241,7,5.13,2.32,2,1268,4.25,0.0001
1.6475,165,3,221,0.42,0.79,1.933,0,0.25,0,2.15,621,1,47,1.09,26,17,162,4,7.51,2.77,0,850,4.25,0.0068
2.735,277,2,256,0.355,0.81,0.292,0,0.17,0.01,1.235,631.5,1,27,0.665,20,17,129.5,3.5,7.06,1.915,0,527,4.25,0.004
1.6475,60,10,694,0.11,0.67,5.875,0,0.31,0.7,0.62,2425,3,63,1.08,21,17,359,6,5.12,2.08,2,1117,4.25,0
1.6475,164,2,258,0.42,0.8,1.909,0,0.25,0,2.05,616,1,41,1.14,26,17,169,4,7.22,2.76,0,839,4.25,0.0036
2.525,342,2,251.5,0.445,0.805,1.916,0,0.27,0,2.13,626.5,1,25,1.11,27.5,17,186.5,4,7.14,2.81,0,561.5,5.25,0.004
1.6475,170,2,247,0.43,0.8,1.903,0,0.27,0,2.15,609,1,33,1.1,27,17,168,4,7.26,2.78,0,760,4.25,0.0015
3.255,270,3,262,0.36,0.77,0.229,0,0.2,0,1.3,615,1,25.5,0.64,20,17,145,4,6.97,1.88,0,605.5,4.25,0.004
0.99,175,2,186,0.35,0.58,0.545,0,0.19,0,1.6,351,1,39.15,0.65,24,17,177,4,7.29,2.6,0,454.25,6,0.004
1.6475,214,16,1103,0.44,1.56,7.677,0,0.62,0.59,1.72,1939,470,39.15,2.25,42,17,300,4,6.41,5.25,3,454.25,4.25,0.009
1.6475,0,14,901,0.09,1.22,5.406,0,0.19,0.97,0.43,5931,0,39.15,0.84,54,17,308,4,4.07,3.35,5,454.25,4.25,0.0019
1.6475,43,17,734,0.1,0.86,7.884,0,0.44,0.77,0.55,2821,10,39.15,1.02,26,17,431,4,4.96,2.8,3,454.25,4.25,0.0016
1.6475,170,3,209,0.38,0.86,1.965,0,0.25,0,1.73,582,2,39.15,0.98,28,17,196,7,6.97,3.05,0,454.25,4.25,0.0004
1.6475,190,12,763,0.33,1.3,7.759,0,0.37,0.64,0.99,2402,80,39.15,2.09,35,17,242,4,6.34,4.67,2,454.25,4.25,0.008
1.6475,46,11,698,0.11,0.86,7.845,0.0158,0.4,0.78,0.73,2721,9,39.15,1.24,24,17,435,3,5.04,2.69,3,454.25,4.25,0.0005
1.6475,179,3,218,0.46,0.89,2.006,0,0.25,0,1.39,584,9,39.15,1.17,28,17,212,7,6.83,2.99,0,454.25,4.25,0.0037
3.33,184,3,243,0.44,0.84,2.038,0,0.25,0,1.38,574,10,39.15,1.02,27,17,218,5,6.75,2.87,0,454.25,4.625,0.004
1.415,355,2.5,182.5,0.395,0.68,0.5905,0.06345,0.165,0,0.88,340,2,39.15,0.675,24.5,17,232.5,4,6.81,2.84,0,454.25,5.5,0.004
1.09,125,3,299,0.36,0.75,0.6,0.0178,0.19,0.02,1.36,508,52,36,0.63,21,17,214,8,6.39,1.94,0,421.6,4.25,0.004
1.9,146.8,4,261,0.43,0.76,2.201,0,0.2,0,1.84,509,37,36,1.04,27,17,234,4,6.64,2.79,1,398.2,4,0.004
1.6475,138,10,455,0.36,0.81,4.842,0,0.09,0.27,1.5,1363,13,0,1.45,25,17,218,2,6.22,3.11,3,266.9,4.25,0.013
1.6475,0,9,503,0.28,0.36,4.886,0,0.07,0.38,0.99,2082,3,0,0.71,32,17,232,3,4.29,1.03,4,307.1,4.25,0.0014
1.6475,18,7,482,0.19,0.4,3.925,0,0.11,0.25,1.84,1154,11,29,0.81,19,17,247,3,4.98,1.31,2,240.3,4.25,0.0037
1.6475,164,4,269,0.43,0.75,0.013,0,0.22,0.02,1.84,514,48,41,1.09,26,17,220,3,6.67,2.77,1,325.6,4.25,0.004
1.51,177,4,198,0.37,0.62,0.814,0.0628,0.18,0,1.39,254,11,44,0.73,25,17,234,5,7.02,2.83,1,383.3,4,0.004
1.6475,184,9,488,0.44,1.04,4.655,0,0.1,0.35,1.7,1498,6,23,1.88,29,17,266,3,6.43,4.02,1,291.9,4.25,0.01
1.6475,0,11,526,0.28,0.41,5.357,0,0.09,0.46,1.01,2400,2,42,0.78,32,17,247,4,4.66,1.18,2,298.7,4.25,0.0008
1.6475,329,2,223.5,0.475,0.835,2.2555,0,0.225,0,2.055,507.5,14,67.5,1.17,26.5,17,198,5,6.94,3.095,1,525.5,4.25,0.004
4.35,167,3,248,0.51,0.89,2.314,0,0.25,0,2.19,515,10,62,1.24,27,17,204,7,6.94,3.32,1,518.5,3.25,0.004
1.6475,154,8,561,0.39,0.92,5.665,0,0.12,0.31,1.71,1500,13,30,1.79,27,17,206,3,6.41,3.56,1,204.4,4.25,0.015
1.6475,0,9,519,0.28,0.45,4.862,0,0.11,0.46,0.94,2334,2,24,0.83,32,17,236,5,4.27,1.29,2,243.8,4.25,0.002
1.6475,19,6,427,0.12,0.47,4.489,0,0.09,0.32,1.79,1359,15,0,0.96,21,17,280,3,4.90,1.63,1,134.5,4.25,0.0032
1.6475,331,2.5,310,0.555,0.825,2.2535,0,0.33,0,2.245,519.5,14,71,1.23,26,17,192.5,5.5,7.00,3.06,1,629.25,4.25,0.004
1.6475,232,12,716,0.59,1.17,4.507,0,0.26,0.42,1.37,1606,2,23,2.03,33,17,303,3,6.52,4.51,2,262.4,4.25,0.007
1.6475,0,11,533,0.24,0.45,5.033,0,0.12,0.5,0.58,2541,2,19,0.81,31,17,266,3,4.29,1.32,3,388.4,4.25,0.0009
1.6475,28,8,617,0.27,0.45,4.598,0,0.34,0.35,1.71,1472,7,21,1.05,19,17,359,2,4.96,1.57,2,285.3,4.25,0.0013
1.6475,172,9,227,0.44,0.82,2.158,0,0.25,0,2.16,537,2,132,1.13,26,17,189,12,7.01,3.04,0,1953,4.25,0.004
4,257,3,237,0.43,0.865,0.4875,0,0.2,0,1.36,500,2,68,0.725,20,17,143,7.5,7.05,2.23,0,581.25,4.25,0.004
1.6475,177,11,737,0.37,0.99,5.643,0,0.16,0.41,1.15,1995,9,30,1.78,28,17,241,3,6.21,3.96,2,318.4,4.25,0.023
1.6475,0,9,594,0.25,0.51,4.122,0,0.12,0.53,0.43,2791,2,29,0.9,34,17,267,4,4.19,1.52,3,438.3,4.25,0.004
1.6475,24,9,566,0.1,0.53,4.535,0,0.15,0.41,1.37,1989,2,41,1.03,19,17,273,6,4.89,1.88,3,631,4.25,0.0053
1.6475,163,4,265,0.42,0.78,2.053,0,0.28,0,2.16,547,2,83,1.07,25,17,171,9,7.18,2.85,0,1108.5,4.25,0.004
2.96,164,3,229,0.39,0.76,2.131,0,0.34,0.02,2.1,524,3,112,1.07,26,17,188,4,7.12,2.8,0,909.2,3.25,0.004
1.6475,179,11,637,0.24,1.04,5.251,0,0.13,0.47,1.19,1951,14,5,1.59,29,17,240,2,6.27,4.06,2,135.2,4.25,0.018
1.6475,0,9.5,539,0.215,0.495,4.0125,0,0.1,0.525,0.37,2809.5,6.5,7,0.875,34,17,256.5,2,4.23,1.425,2.5,1867.15,4.25,0.0026
1.6475,15,8,472,0.07,0.52,4.345,0,0.27,0.35,1.66,1679,5,0,1.02,26,17,214,2,4.82,1.82,2,186.4,4.25,0.0059
0.84,171,4,181,0.38,0.65,0.706,0,0.22,0,1.57,330,1,23,0.71,24,17,203,3,7.16,2.86,0,231,7,0.004
1.88,124,4,251,0.34,0.79,0.382,0,0.19,0.02,1.33,532,1,37,0.63,20,17,135,5,7.14,0.98,0,466.3,4.25,0.004
2.03,167,3,226,0.49,0.95,2.021,0,0.22,0,1.87,569,2,42,1.22,25,17,181,4,7.13,3.49,0,394,3.25,0.004
1.6475,620,14,747,0.29,1.205,3.14,0,0.105,0.59,0.91,1869.5,33,32,1.82,33,17,340,3,6.43,4.655,2,327.5,4.25,0.006
1.6475,0,8,588,0.17,0.53,4.636,0,0.08,0.58,0.25,3009,1,17,0.83,33,17,294,2,4.24,1.52,3,249.1,4.25,0.0009
1.6475,23,8,502,0.04,0.5,4.558,0,0.05,0.4,1.3,1718,4,15,0.9,19,17,514,1,4.87,1.71,2,164.2,4.25,0.002
1.6475,146.8,3,313,0.51,0.8,2.012,0,0.28,0,1.99,572,2,61,1.1,26,17,179,4,7.14,2.8,0,746.5,4.25,0.004
1.6475,207,13,761,0.24,1.13,5.833,0,0.14,0.61,0.74,2220,24,32,1.78,31,17,277,3,6.25,4.53,2,652,4.25,0.011
1.6475,0,8,612,0.1,0.54,4.358,0,0.08,0.58,0.21,3128,4,36,0.86,35,17,286,3,4.15,1.52,3,258.4,4.25,0.0015
1.6475,24,8,540,0.04,0.52,4.926,0,0.09,0.43,1.24,1951,2,23,1,21,17,288,3,4.82,1.84,2,269.5,4.25,0.0026
1.5,169,3,192,0.37,0.62,0.606,0,0.18,0,1.45,305,1,46,0.7,23,17,196,4,7.34,2.72,0,490.7,7.75,0.004
1.6,256,3.5,255,0.345,0.765,0.3415,0,0.21,0,1.365,505.5,0.5,65,0.635,20,17,138,3.5,7.11,1.885,0,507.75,4.25,0.004
1.6475,253,5.5,754,0.35,0.69,3.457,0,0.2,0.265,1.36,1238.5,2.7,39.15,0.98,25.125,17,227,4,6.35,2.545,1,454.25,4.25,0.003
1.6475,0,5.5,663,0.35,0.69,3.457,0,0.2,0.265,1.36,1238.5,2.7,39.15,0.98,25.125,17,227,4,6.35,2.545,1,454.25,4.25,0.0002
1.6475,22,5.5,590,0.35,0.69,3.457,0,0.2,0.265,1.36,1238.5,2.7,39.15,0.98,25.125,17,227,4,6.35,2.545,1,454.25,4.25,0.001
3.1,163,3,248,0.39,0.78,1.986,0,0.26,0.02,2.15,601,3,61,1.04,25,17,171,3,7.06,2.78,1,446.5,2.75,0.004
1.6475,98,11,718,0.08,0.85,4.478,0,0.03,0.5,0.56,2277,7,45,1.04,24,17,235,6,5.60,3.49,2,463.4,4.25,0.178
1.6475,0,9,570,0.07,0.47,2.797,0.0179,0.07,0.4,0.21,2688,2,42,0.64,36,17,362,6,4.18,1.41,3,369.8,4.25,0.0157
1.6475,13,8,681,0.08,0.53,4.091,0,0.08,0.29,1.09,1922,1,39,0.67,25,17,284,4,7.10,1.84,1,260.2,4.25,0.0679
1.6475,161,2,288,0.41,0.77,1.991,0,0.22,0,1.8,602,4,55,1.05,22,17,168,5,4.72,2.74,1,481.8,4.25,0.004
1.6475,149,13,724,0.24,0.97,5.483,0,0.17,0.67,0.74,2047,19,32,1.32,26,17,287,3,5.92,3.91,3,250.4,4.25,0.046
1.6475,0,7,588,0.04,0.43,4.218,0.0153,0.06,0.58,0.45,2759,2,20,0.75,36,17,340,2,4.16,1.26,3,176.6,4.25,0.0054
1.6475,159,2,290,0.39,0.76,2.036,0,0.28,0.02,1.72,628,5,81,1.09,25,17,182,4,6.98,2.71,1,596.5,4.25,0.004
1.6475,172,20,810,0.14,1.05,5.852,0,0.08,0.86,0.71,2088,33,46,1.37,29,17,328,4,6.01,4.33,4,336.2,4.25,0.023
1.6475,0,8,593.5,0.06,0.43,4.5455,0,0.055,0.565,0.4,2758.5,1,9.5,0.8,37.5,17,374,2,4.17,1.215,4,210.55,4.25,0.0031
1.6475,16,6,520,0.02,0.45,4.853,0,0.05,0.34,1.34,1707,1,16,0.77,20,17,357,2,4.78,1.62,2,121.9,4.25,0.009
1.6475,155,2,287,0.41,0.76,2.085,0,0.24,0.02,1.78,675,3,71,1.07,25,17,159,5,7.07,2.7,0,609.5,4.25,0.004
1.59,164,2,198,0.36,0.62,0.54,0,0.16,0,1.32,333,2,51,0.69,22,17,191,4,7.21,2.67,0,454.5,4.5,0.004
2.4,113,2,291,0.32,0.75,3.457,0,0.16,0.02,1.18,583,0,56,0.62,18,17,134,5,6.46,1.81,0,546,4.25,0.004
3.18,153,3,264,0.36,0.75,2.089,0,0.22,0.02,1.87,676,1,65,1.01,24,17,168,4,7.01,2.71,0,544,3.5,0.004
1.6475,187,21,851,0.17,1.04,6.298,0,0.12,0.86,0.62,2202,30,30,1.36,28,17,279,4,6.08,4.34,4,346.2,4.25,0.017
1.6475,0,10,643,0.05,0.46,4.616,0,0.05,0.6,0.3,2848,1,18,0.79,36,17,375,3,4.10,1.28,5,188.2,4.25,0.004
1.6475,13,8,535,0.01,0.47,5.388,0,0.05,0.32,1.11,1841,1,23,0.84,20,17,191,3,4.71,1.7,2,172.2,4.25,0.0066
1.6475,316,3,256,0.355,0.755,2.1145,0,0.205,0.02,1.84,689.5,0,54.5,1.015,24,17,160,3,7.01,2.725,1,540.5,4.25,0.004
1.6475,130,18,757,0.08,0.96,5.287,0,0.08,0.77,0.48,2420,12,40,1.08,26,17,287,4,5.70,3.92,4,250.4,4.25,0.081
1.6475,0,10,618,0.07,0.47,3.771,0,0.09,0.53,0.24,2967,2,32,0.68,35,17,375,3,4.14,1.35,4,285.7,4.25,0.0074
1.6475,156,3,270,0.37,0.72,2.079,0,0.28,0,1.76,697,0,77,0.98,24,17,148,3,7.02,2.56,1,647.5,4.25,0.004
1.21,162,2,199,0.35,0.6,0.493,0,0.18,0,1.38,362,2,62,0.66,23,17,185,3,7.25,2.6,0,528,5.25,0.004
1.72,229,2.5,277,0.31,0.735,0.561,0,0.165,0.02,1.155,618.5,1,57.5,0.62,18,17,124.5,4,6.86,1.75,0,453,4.25,0.004
2.84,150,3,257,0.35,0.73,2.148,0,0.24,0,1.75,714,0,75,1,23,17,157,5,7.02,2.58,1,551.5,3.25,0.004
1.6475,126,18,864,0.12,0.95,5.65,0,3.63,0.65,0.52,2349,12,34,1.28,26,17,330,4,5.62,3.88,4,318,4.25,0.105
1.6475,0,13,707,0.06,0.54,3.965,0,2.73,0.58,0.17,3373,1,25,0.75,39,17,429,4,3.99,1.52,5,437.8,4.25,0.0083
1.6475,15,16,817,0.06,0.56,6.146,0.0176,0.13,0.71,0.44,3272,3,29,0.92,24,17,372,4,4.59,1.93,4,410.3,4.25,0.0108
1.6475,150,3,267,0.34,0.72,2.114,0,0.2,0.02,1.76,715,2,63,0.99,24,17,157,4,6.97,2.56,1,643.5,4.25,0.004
1.6475,146.8,5.5,402,0.1525,0.71,3.457,0.031125,0.1375,0.7575,0.2225,3571.25,2.7,39.15,1.083333333,25.125,17,227,4,4.34,2.0525,1,454.25,4.25,0.0063
1.6475,146.8,5.5,402,0.05,0.65,3.457,0.0234,0.11,0.6,0.63,2371,2.7,39.15,1.14,25.125,17,227,4,5.04,2.75,1,454.25,4.25,0.0081
1.6475,146.8,5.5,402,0.35,0.69,3.457,0,0.2,0.265,1.36,1238.5,2.7,39.15,0.98,25.125,17,227,4,4.21,2.545,1,454.25,4.25,0.0027
1.6475,146.8,5.5,402,0.01,0.54,3.457,0.017,0.09,0.57,0.66,2338,2.7,39.15,1.09,25.125,17,227,4,5.07,2.51,1,454.25,4.25,0.006
