S/N,ACTIVITY_START_DATE,DATASET_NAME,SITE,TREATMENT,ACTIVITY_MEDIA_NAME,CHLA,ALK,TDP,TDN,K,MG,SRSI,MN,CL,FE,SO4,DOC,NO3,PARTN,NA,COND,NH3,DIC,PARTP,PH,CA,NO2,PARTC,SECCHI_DEPTHS,MEAN_DAILY_DISCHARGE
23,2015-06-01,Chemistry,Site1,none (reference/control),StreamD - outflow from Site1 lake,1.85,163.00,2.00,228.00,0.42,0.76,2.14,0.00,0.25,0.00,2.30,615.00,0.00,42.00,1.05,26.00,22.55,173.00,7.00,7.05,2.69,1.00,797.00,4.54,0.05
24,2015-06-01,Chemistry,Site4,fertilized,Lake Water,3.52,159.00,8.50,297.50,0.24,0.51,0.45,0.00,0.23,0.04,1.29,726.50,1.50,160.00,0.93,17.00,46.72,105.00,18.00,6.51,1.58,0.00,1437.00,1.75,0.00
25,2015-06-02,Chemistry,Site2,none (reference/control),Lake Water,0.69,332.00,2.00,169.00,0.42,0.67,0.75,0.00,0.21,0.00,1.68,324.00,0.50,0.00,0.77,25.00,22.55,184.50,6.50,7.21,2.88,0.00,528.00,5.00,0.01
26,2015-06-08,Chemistry,Site1,none (reference/control),Lake Water,1.94,302.00,2.00,231.00,0.46,0.87,1.97,0.00,0.25,0.00,2.21,610.00,1.00,40.00,1.16,26.00,22.55,156.50,5.00,7.18,3.00,0.50,773.00,3.25,0.01
27,2015-06-08,Chemistry,Site1,none (reference/control),StreamA - inflow to Site1 lake,1.85,150.00,10.00,648.00,0.25,1.02,5.07,0.00,0.05,0.57,1.16,2188.00,16.00,0.00,1.69,30.00,22.55,230.00,2.00,6.13,4.23,2.00,332.00,4.54,0.02
28,2015-06-08,Chemistry,Site1,none (reference/control),StreamB - inflow to Site1 lake,1.85,0.00,8.00,579.00,0.14,0.59,4.54,0.00,0.10,0.60,0.75,3030.00,0.00,0.00,0.89,36.00,22.55,252.00,4.00,4.20,1.55,3.00,450.00,4.54,0.00
29,2015-06-08,Chemistry,Site1,none (reference/control),StreamC - inflow to Site1 lake,1.85,18.00,6.00,511.00,0.04,0.61,4.77,0.00,0.12,0.41,2.16,1840.00,5.00,0.00,1.01,22.00,22.55,304.00,2.00,4.86,1.99,2.00,296.00,4.54,0.01
30,2015-06-08,Chemistry,Site1,none (reference/control),StreamD - outflow from Site1 lake,1.85,149.00,2.00,248.00,0.44,0.85,2.09,0.00,0.24,0.00,2.18,662.00,1.00,30.00,1.15,27.00,22.55,169.00,7.00,7.05,2.94,0.00,986.00,4.54,0.06
31,2015-06-11,Chemistry,Site3,none (reference/control),Lake Water,1.39,234.00,3.00,246.00,0.40,0.86,0.30,0.00,0.19,0.00,1.49,576.00,0.50,0.00,0.71,21.00,22.55,133.00,6.00,7.08,2.08,1.00,788.50,4.54,0.01
32,2015-06-15,Chemistry,Site1,none (reference/control),StreamA - inflow to Site1 lake,1.85,257.00,15.00,773.00,0.10,0.62,5.32,0.02,0.11,0.44,1.83,2209.00,24.00,0.00,1.08,38.00,22.55,355.00,9.00,6.40,2.04,3.00,1114.00,4.54,0.00
33,2015-06-15,Chemistry,Site1,none (reference/control),StreamB - inflow to Site1 lake,1.85,0.00,10.00,637.00,0.18,0.68,4.90,0.00,0.12,0.70,0.54,3470.00,4.00,81.00,1.03,35.00,22.55,269.00,30.00,4.26,1.85,4.00,3127.00,4.54,0.00
34,2015-06-15,Chemistry,Site1,none (reference/control),StreamC - inflow to Site1 lake,1.85,24.00,8.00,522.00,0.40,1.32,4.43,0.02,0.18,0.69,0.97,1861.00,4.00,0.00,2.25,22.00,22.55,394.00,5.00,4.94,5.46,2.00,534.00,4.54,0.00
35,2015-06-15,Chemistry,Site1,none (reference/control),StreamD - outflow from Site1 lake,1.85,162.00,3.00,226.00,0.46,0.86,2.10,0.00,0.23,0.00,2.19,641.00,0.00,0.00,1.18,37.00,22.55,170.00,4.00,7.26,3.00,1.00,735.00,4.54,0.03
36,2015-06-15,Chemistry,Site4,fertilized,Lake Water,24.62,197.00,6.50,311.50,0.21,0.54,0.29,0.00,0.21,0.03,1.30,717.50,0.50,433.00,0.99,16.00,46.72,50.00,28.00,7.80,1.67,1.00,2367.00,1.25,0.00
37,2015-06-16,Chemistry,Site2,none (reference/control),Lake Water,0.52,168.00,2.00,171.00,0.42,0.65,0.73,0.00,0.22,0.00,1.69,333.00,1.00,0.00,0.74,25.00,22.55,182.00,3.00,7.23,2.86,0.00,393.00,7.75,0.01
38,2015-06-22,Chemistry,Site1,none (reference/control),Lake Water,1.32,152.00,3.00,252.50,0.45,0.82,2.06,0.00,0.26,0.00,2.22,629.50,1.00,0.00,1.14,22.00,22.55,162.00,4.50,7.22,2.92,0.00,501.00,3.25,0.01
39,2015-06-22,Chemistry,Site1,none (reference/control),StreamA - inflow to Site1 lake,1.85,446.00,15.00,744.00,0.33,1.48,6.02,0.02,0.11,0.63,0.95,2058.00,39.00,201.00,2.13,38.00,22.55,383.00,18.00,6.38,5.35,2.00,2815.00,4.54,0.01
40,2015-06-22,Chemistry,Site1,none (reference/control),StreamB - inflow to Site1 lake,1.85,0.00,8.00,601.00,0.14,0.71,5.26,0.00,0.09,0.68,0.28,3646.00,0.00,0.00,1.03,36.00,22.55,255.00,3.00,4.25,1.97,5.00,372.00,4.54,0.00
41,2015-06-22,Chemistry,Site1,none (reference/control),StreamC - inflow to Site1 lake,1.85,35.00,8.00,557.00,0.07,0.61,4.93,0.00,0.06,0.46,1.38,2056.00,3.00,0.00,0.99,21.00,22.55,348.00,4.00,4.97,2.01,2.00,407.00,4.54,0.00
42,2015-06-22,Chemistry,Site1,none (reference/control),StreamD - outflow from Site1 lake,1.85,202.00,5.00,241.00,0.48,0.84,2.11,0.00,0.24,0.00,2.19,636.00,3.00,315.00,1.18,27.00,22.55,161.00,32.00,7.17,2.96,0.00,10160.00,4.54,0.02
43,2015-06-25,Chemistry,Site3,none (reference/control),Lake Water,1.01,253.00,2.50,300.00,0.40,0.82,0.26,0.00,0.20,0.01,1.42,572.50,1.00,11.50,0.71,21.00,22.55,132.50,4.50,6.91,2.01,0.00,570.50,4.54,0.01
44,2015-06-29,Chemistry,Site1,none (reference/control),StreamA - inflow to Site1 lake,1.85,123.39,18.00,815.00,0.25,1.47,6.02,0.00,0.08,0.75,0.66,2339.00,43.00,14.00,2.08,36.00,22.55,302.00,4.00,6.43,5.59,3.00,541.00,4.54,0.00
45,2015-06-29,Chemistry,Site1,none (reference/control),StreamB - inflow to Site1 lake,1.85,0.00,9.00,723.00,0.11,0.71,4.60,0.00,0.09,0.67,0.23,3736.00,2.00,0.00,1.00,38.00,22.55,280.00,6.00,4.21,2.00,4.00,1147.00,4.54,0.00
46,2015-06-29,Chemistry,Site1,none (reference/control),StreamC - inflow to Site1 lake,1.85,24.00,9.00,630.00,0.09,0.69,5.22,0.00,0.07,0.57,0.96,2512.00,3.00,0.00,1.06,22.00,22.55,438.00,3.00,4.96,2.35,2.00,476.00,4.54,0.00
47,2015-06-29,Chemistry,Site1,none (reference/control),StreamD - outflow from Site1 lake,1.85,152.00,3.00,249.00,0.47,0.83,2.01,0.00,0.24,0.00,2.19,618.00,2.00,21.00,1.22,26.00,22.55,148.00,4.00,7.42,2.93,0.00,733.00,4.54,0.02
48,2015-06-29,Chemistry,Site4,fertilized,Lake Water,56.58,217.00,6.00,482.00,0.20,0.50,0.26,0.00,0.17,0.05,1.09,724.50,29.50,702.00,0.95,16.00,46.72,19.50,24.00,8.86,1.55,1.00,3443.50,1.00,0.00
49,2015-06-30,Chemistry,Site2,none (reference/control),Lake Water,0.50,326.00,2.50,184.00,0.44,0.68,0.71,0.00,0.20,0.00,1.70,331.00,1.50,0.00,0.81,24.50,22.55,181.50,3.00,7.29,2.94,0.00,299.50,9.00,0.01
50,2015-07-06,Chemistry,Site1,none (reference/control),Lake Water,1.80,318.00,2.00,245.00,0.49,0.86,2.05,0.00,0.26,0.00,2.20,608.00,2.50,62.00,1.24,26.50,22.55,166.50,4.00,7.23,3.02,0.50,516.50,3.10,0.01
51,2015-07-06,Chemistry,Site1,none (reference/control),StreamA - inflow to Site1 lake,1.85,238.00,21.00,869.00,0.25,1.47,6.80,0.00,0.12,0.79,0.75,2268.00,50.00,0.00,2.06,35.00,22.55,310.00,6.00,6.35,5.56,2.00,718.00,4.54,0.01
52,2015-07-06,Chemistry,Site1,none (reference/control),StreamB - inflow to Site1 lake,1.85,0.00,8.00,723.00,0.07,0.78,4.47,0.00,0.05,0.72,0.06,4018.00,1.00,14.00,1.01,39.00,22.55,293.00,4.00,4.17,2.17,4.00,425.00,4.54,0.00
53,2015-07-06,Chemistry,Site1,none (reference/control),StreamC - inflow to Site1 lake,1.85,29.00,9.00,621.00,0.10,0.68,5.24,0.00,0.11,0.67,0.73,2408.00,4.00,37.00,1.06,21.00,22.55,445.00,4.00,4.94,2.29,2.00,451.00,4.54,0.00
54,2015-07-06,Chemistry,Site1,none (reference/control),StreamD - outflow from Site1 lake,1.85,161.00,3.00,290.00,0.51,0.84,2.02,0.00,0.55,0.00,2.25,621.00,3.00,0.00,1.30,27.00,22.55,159.00,4.00,7.24,3.00,0.00,512.00,4.54,0.02
55,2015-07-08,Chemistry,Site3,none (reference/control),Lake Water,3.29,256.00,2.50,245.50,0.43,0.88,0.23,0.00,0.19,0.00,1.42,606.50,1.50,13.00,0.76,21.00,22.55,133.50,4.50,7.03,2.15,0.00,542.00,4.54,0.01
56,2015-07-13,Chemistry,Site1,none (reference/control),StreamD - outflow from Site1 lake,1.85,166.00,1.00,272.00,0.48,0.87,2.03,0.00,0.26,0.00,2.19,614.00,2.00,848.00,1.25,28.00,22.55,158.00,4.00,7.41,3.06,0.00,658.00,4.54,0.01
57,2015-07-13,Chemistry,Site4,fertilized,Lake Water,11.32,189.00,6.00,541.00,0.21,0.53,0.21,0.00,0.18,0.07,1.05,667.00,143.00,631.00,1.02,17.50,46.72,85.00,15.00,6.64,1.69,2.00,1490.00,1.75,0.00
58,2015-07-14,Chemistry,Site2,none (reference/control),Lake Water,0.31,165.00,2.00,195.00,0.30,0.76,0.68,0.00,0.22,0.42,1.31,320.00,3.00,21.00,1.03,25.00,22.55,182.00,3.00,7.14,2.55,0.00,549.00,7.00,0.01
59,2015-07-20,Chemistry,Site1,none (reference/control),Lake Water,1.77,333.00,3.00,229.50,0.48,0.84,1.99,0.00,0.24,0.00,2.17,608.50,1.50,28.00,1.21,27.00,22.55,168.00,6.00,7.28,2.96,0.00,738.00,4.50,0.01
60,2015-07-20,Chemistry,Site1,none (reference/control),StreamA - inflow to Site1 lake,1.85,242.00,21.00,887.00,0.19,1.45,6.49,0.00,0.06,0.94,0.50,2651.00,40.00,46.00,1.89,35.00,22.55,298.00,6.00,6.33,5.74,3.00,1006.00,4.54,0.01
61,2015-07-20,Chemistry,Site1,none (reference/control),StreamB - inflow to Site1 lake,1.85,0.00,10.00,740.00,0.06,0.81,4.15,0.00,0.07,0.73,0.10,4336.00,3.00,0.00,1.01,42.00,22.55,316.00,4.00,4.17,2.29,4.00,520.00,4.54,0.00
62,2015-07-20,Chemistry,Site1,none (reference/control),StreamC - inflow to Site1 lake,1.85,56.00,9.00,692.00,0.06,0.74,5.43,0.02,0.10,0.75,0.50,2647.00,3.00,14.00,1.06,24.00,22.55,513.00,4.00,5.03,2.59,3.00,513.00,4.54,0.00
63,2015-07-20,Chemistry,Site1,none (reference/control),StreamD - outflow from Site1 lake,1.85,159.00,3.00,245.00,0.47,0.82,1.95,0.00,0.24,0.00,2.11,611.00,2.00,37.00,1.20,27.00,22.55,171.00,5.00,7.27,2.91,0.00,713.00,4.54,0.02
64,2015-07-22,Chemistry,Site4,fertilized,Lake Water,11.54,113.13,7.00,432.00,0.19,0.51,0.66,0.00,0.20,0.03,0.79,633.00,154.00,190.00,0.98,18.00,46.72,101.47,20.00,6.26,1.62,2.00,1214.00,1.27,0.00
65,2015-07-23,Chemistry,Site3,none (reference/control),Lake Water,1.31,251.00,2.50,263.50,0.41,0.84,0.23,0.00,0.18,0.00,1.39,603.00,2.00,35.00,0.74,21.00,22.55,137.00,3.50,7.02,2.04,0.00,690.50,4.54,0.01
66,2015-07-27,Chemistry,Site1,none (reference/control),StreamA - inflow to Site1 lake,1.85,241.00,23.00,920.00,0.19,1.47,6.33,0.02,0.06,1.08,0.46,2999.00,41.00,22.00,1.79,36.00,22.55,317.00,4.00,6.11,5.96,3.00,763.00,4.54,0.01
67,2015-07-27,Chemistry,Site1,none (reference/control),StreamB - inflow to Site1 lake,1.85,0.00,8.00,713.00,0.06,0.79,3.98,0.00,0.04,0.74,0.12,4295.00,3.00,0.00,0.94,42.00,22.55,326.00,2.00,4.44,2.24,4.00,512.00,4.54,0.00
68,2015-07-27,Chemistry,Site1,none (reference/control),StreamC - inflow to Site1 lake,1.85,44.00,10.00,756.00,0.09,0.75,4.88,0.00,0.15,0.76,0.44,2796.00,4.00,11.00,1.07,23.00,22.55,318.00,4.00,4.89,2.57,2.00,634.00,4.54,0.00
69,2015-07-27,Chemistry,Site1,none (reference/control),StreamD - outflow from Site1 lake,1.85,179.00,3.00,266.00,0.44,0.81,2.00,0.00,0.24,0.00,2.12,608.00,1.00,27.00,1.18,26.00,22.55,158.00,2.00,7.40,2.91,0.00,987.00,4.54,0.02
70,2015-07-27,Chemistry,Site4,fertilized,Lake Water,11.73,177.00,5.50,420.00,0.19,0.51,0.19,0.00,0.18,0.03,1.01,653.00,104.00,225.50,0.98,16.00,46.72,73.50,15.00,6.89,1.60,2.50,1601.00,1.50,0.00
71,2015-07-28,Chemistry,Site2,none (reference/control),Lake Water,0.54,175.00,2.00,179.00,0.42,0.66,0.67,0.00,0.20,0.00,1.66,336.00,3.00,0.00,0.80,24.00,22.55,184.00,4.00,7.32,2.86,0.00,818.00,4.54,0.01
72,2015-08-04,Chemistry,Site1,none (reference/control),Lake Water,2.38,346.00,4.00,227.00,0.48,0.84,1.96,0.00,0.24,0.00,2.15,608.50,1.00,32.00,1.22,27.00,22.55,167.50,4.00,7.23,2.96,0.00,548.50,4.00,0.01
73,2015-08-04,Chemistry,Site1,none (reference/control),StreamA - inflow to Site1 lake,1.85,123.39,25.00,905.00,0.29,1.82,6.63,0.02,0.08,1.17,0.49,2668.00,57.00,42.00,2.20,45.00,22.55,405.00,7.00,6.50,7.17,3.00,1044.00,4.54,0.00
74,2015-08-04,Chemistry,Site1,none (reference/control),StreamB - inflow to Site1 lake,1.85,123.39,7.00,754.00,0.12,0.85,4.51,0.00,0.09,0.85,0.13,4475.00,4.00,137.00,1.03,41.00,22.55,322.00,9.00,4.21,2.48,4.00,3503.00,4.54,0.00
75,2015-08-04,Chemistry,Site1,none (reference/control),StreamC - inflow to Site1 lake,1.85,123.39,9.00,699.00,0.07,0.71,5.02,0.00,0.11,0.79,0.41,2578.00,3.00,28.00,1.09,22.00,22.55,348.00,5.00,5.04,2.42,2.00,805.00,4.54,0.00
76,2015-08-04,Chemistry,Site1,none (reference/control),StreamD - outflow from Site1 lake,1.85,123.39,2.00,221.00,0.45,0.82,1.98,0.00,0.24,0.00,2.17,627.00,2.00,27.00,1.20,27.00,22.55,155.00,5.00,7.61,2.93,0.00,608.00,4.54,0.01
77,2015-08-06,Chemistry,Site3,none (reference/control),Lake Water,1.93,250.00,2.00,236.00,0.42,0.87,0.24,0.00,0.18,0.00,1.37,586.00,1.00,23.50,0.77,21.00,22.55,140.00,3.50,7.08,2.12,0.00,565.00,4.54,0.01
78,2015-08-10,Chemistry,Site1,none (reference/control),StreamD - outflow from Site1 lake,1.85,167.00,2.00,277.00,0.47,0.82,2.02,0.00,0.26,0.02,2.15,624.00,3.00,31.00,1.24,26.00,22.55,153.00,3.00,7.63,2.92,0.00,682.00,4.54,0.01
79,2015-08-10,Chemistry,Site4,fertilized,Lake Water,18.47,188.00,6.50,343.00,0.20,0.52,0.05,0.00,0.20,0.02,0.98,655.00,8.50,297.00,1.01,15.50,46.72,78.50,19.50,7.12,1.59,0.00,2010.00,1.50,0.00
80,2015-08-11,Chemistry,Site2,none (reference/control),Lake Water,0.89,174.00,2.00,168.00,0.43,0.68,0.66,0.00,0.22,0.00,1.58,340.00,2.00,21.00,0.84,24.00,22.55,188.00,2.00,7.37,2.96,0.00,502.00,7.25,0.01
81,2015-08-17,Chemistry,Site1,none (reference/control),Lake Water,2.16,348.00,1.50,207.00,0.42,0.80,2.04,0.00,0.24,0.00,2.13,603.00,1.00,39.50,1.09,26.50,22.55,163.50,5.00,7.33,2.82,0.00,730.50,4.50,0.01
82,2015-08-17,Chemistry,Site1,none (reference/control),StreamD - outflow from Site1 lake,1.85,179.00,2.00,212.00,0.42,0.82,2.03,0.00,0.25,0.00,2.06,603.00,1.00,33.00,1.13,26.00,22.55,168.00,4.00,7.37,2.85,0.00,782.00,4.54,0.00
83,2015-08-18,Chemistry,Site3,none (reference/control),Lake Water,1.49,135.00,2.00,256.00,0.38,0.83,0.22,0.00,0.21,0.00,1.31,586.00,1.00,12.00,0.72,20.00,22.55,130.00,2.00,7.09,2.03,0.00,596.00,4.54,0.01
84,2015-08-24,Chemistry,Site1,none (reference/control),StreamA - inflow to Site1 lake,1.85,189.00,15.00,700.00,0.18,1.12,6.89,0.00,0.10,0.70,1.86,2168.00,42.00,23.00,1.75,34.00,22.55,322.00,5.00,6.15,4.57,2.00,597.00,4.54,0.01
85,2015-08-24,Chemistry,Site1,none (reference/control),StreamB - inflow to Site1 lake,1.85,0.00,9.00,733.00,0.05,0.89,4.45,0.00,0.07,0.80,0.26,4960.00,3.00,0.00,0.87,41.00,22.55,328.00,4.00,4.12,2.54,4.00,589.00,4.54,0.00
86,2015-08-24,Chemistry,Site1,none (reference/control),StreamC - inflow to Site1 lake,1.85,38.00,16.00,773.00,0.08,0.79,6.48,0.01,0.17,0.79,0.93,2892.00,5.00,16.00,0.93,25.00,22.55,432.00,5.00,4.90,2.67,3.00,642.00,4.54,0.00
87,2015-08-24,Chemistry,Site1,none (reference/control),StreamD - outflow from Site1 lake,1.85,165.00,2.00,262.00,0.46,0.81,1.97,0.00,0.29,0.00,2.17,623.00,1.00,49.00,1.15,26.00,22.55,167.00,6.00,7.33,2.84,1.00,786.00,4.54,0.01
88,2015-08-24,Chemistry,Site4,fertilized,Lake Water,36.90,217.00,7.00,333.00,0.16,0.49,0.13,0.00,0.20,0.04,0.95,644.50,16.00,395.00,0.92,15.00,46.72,75.50,26.00,6.81,1.50,1.00,2798.00,1.50,0.00
89,2015-08-26,Chemistry,Site2,none (reference/control),Lake Water,1.40,170.00,2.00,162.00,0.40,0.64,0.61,0.00,0.20,0.00,1.64,342.00,1.00,0.00,0.75,24.00,22.55,175.00,4.00,7.32,2.81,0.00,438.00,6.25,0.01
90,2015-08-31,Chemistry,Site1,none (reference/control),Lake Water,1.90,347.00,2.00,233.50,0.42,0.81,1.93,0.00,0.23,0.00,1.22,601.00,2.00,31.00,1.10,27.00,22.55,170.50,3.50,7.37,2.81,0.00,622.00,3.00,0.01
91,2015-08-31,Chemistry,Site1,none (reference/control),StreamD - outflow from Site1 lake,1.85,172.00,3.00,236.00,0.41,0.79,1.93,0.00,0.22,0.00,2.14,597.00,1.00,38.00,1.05,27.00,22.55,157.00,4.00,7.54,2.77,0.00,831.00,4.54,0.00
92,2015-09-02,Chemistry,Site3,none (reference/control),Lake Water,1.65,260.00,3.00,249.00,0.35,0.79,0.21,0.00,0.18,0.00,1.30,612.00,4.50,14.00,0.65,20.50,22.55,131.50,3.00,7.07,1.90,0.00,523.50,4.54,0.01
93,2015-09-08,Chemistry,Site1,none (reference/control),StreamA - inflow to Site1 lake,1.85,184.00,17.00,869.00,0.21,1.24,6.45,0.00,0.11,0.89,1.04,3365.00,7.00,11.00,1.62,33.00,22.55,253.00,5.00,6.05,5.04,2.00,571.00,4.54,0.02
94,2015-09-08,Chemistry,Site1,none (reference/control),StreamB - inflow to Site1 lake,1.85,0.00,11.00,808.00,0.12,0.89,3.80,0.00,0.11,0.87,0.25,5242.00,10.80,0.00,0.83,49.00,22.55,376.00,2.00,4.09,2.52,5.00,600.00,4.54,0.00
95,2015-09-08,Chemistry,Site1,none (reference/control),StreamC - inflow to Site1 lake,1.85,56.00,11.00,787.00,0.07,0.84,6.01,0.02,0.33,0.92,0.65,3329.00,2.00,0.00,0.95,28.00,22.55,433.00,4.00,4.92,2.91,3.00,639.00,4.54,0.00
96,2015-09-08,Chemistry,Site1,none (reference/control),StreamD - outflow from Site1 lake,1.85,165.00,2.00,212.00,0.42,0.79,1.92,0.00,0.23,0.00,2.10,623.00,1.00,45.00,1.08,27.00,22.55,159.00,4.00,7.45,2.78,1.75,790.00,4.54,0.02
97,2015-09-08,Chemistry,Site4,fertilized,Lake Water,42.02,216.00,7.50,317.50,0.11,0.47,0.33,0.00,0.18,0.03,0.95,681.00,1.00,484.50,0.88,15.00,46.72,49.00,30.00,8.04,1.45,1.31,3531.50,0.75,0.00
98,2015-09-09,Chemistry,Site2,none (reference/control),Lake Water,0.89,170.00,1.00,164.00,0.41,0.66,0.61,0.00,0.21,0.00,1.64,305.03,1.00,31.00,0.74,23.00,22.55,180.00,3.00,7.37,2.87,1.75,601.00,5.75,0.01
